Customer_ID,Customer_Name,Email,Phone,Address,City,State,Zip,Country,Gender,Date_of_Birth,Account_Creation_Date,Last_Login_Date,Product_1,Product_2,Product_3,Product_4,Product_5,Order_Amount,Order_Date,Payment_Method,Loyalty_Points,Subscription_Status,Subscription_Plan,Last_Purchase_Date,Referral_Code,Customer_Service_Interactions,Customer_Satisfaction_Rating,Age,Occupation,Marital_Status
49000,Stephen Buckley,jessica51@hotmail.com,+1-150-067-9260x43137,"Unit 6467 Box 7572
DPO AP 47664",Lake Codyfort,Nevada,2339,Mayotte,Other,3/30/92,1/18/20,4/2/25,way,so,over,believe,century,81.41,1/24/25,Credit Card,367,Active,Gold,3/11/25,O1Y46IJJ,8,7,19,Art therapist,Single
19555,Steven Woods,rodney85@strong.com,(818)625-7017x270,"86013 Hamilton Vista
New Cynthia, IA 39264",South Rebecca,Maryland,91196,Bosnia and Herzegovina,Female,12/4/77,10/14/20,4/1/25,general,plant,state,majority,my,87.09,2/13/25,PayPal,352,Inactive,Platinum,3/14/25,YL7DRLL6,18,6,39,"Administrator, Civil Service",Married
41941,Brian Li,nicholaswhite@torres.com,795-740-3454,"500 Palmer Neck Suite 103
Lake Jeremyville, OK 36314",Veronicaborough,Arizona,45007,Norway,Female,1/6/88,5/24/24,4/2/25,create,word,structure,drug,shake,466.44,2/28/25,Credit Card,996,Active,Gold,3/20/25,FZNA1HYL,14,3,70,Chartered accountant,Widowed
40570,Brian Lopez,charleshouston@yahoo.com,(108)300-9664,"49770 Horne Village
Deborahland, ND 56952",South Jennifer,Alaska,94756,Northern Mariana Islands,Female,12/22/72,7/19/23,4/1/25,just,conference,knowledge,direction,lay,80.7,3/15/25,PayPal,265,Inactive,Premium,2/9/25,0SE4JCAO,4,3,39,"Therapist, occupational",Widowed
83740,Anna Carney,bobbykelly@yahoo.com,2175001965,"0092 Jason Avenue Apt. 063
Smithburgh, MN 56098",Robinsonmouth,Wyoming,14642,Tonga,Male,8/17/58,8/14/24,4/2/25,though,wear,reveal,phone,rather,449.06,2/25/25,Bank Transfer,772,Inactive,Gold,2/26/25,I7SE1J3J,16,4,48,Leisure centre manager,Divorced
77309,Ryan Wang,pamela50@gmail.com,(932)800-2218x15597,"35192 Ryan Valley
Christineshire, SC 64498",Brownville,Utah,97694,Hong Kong,Other,9/6/60,12/13/23,4/2/25,TV,collection,will,to,decade,223.39,1/26/25,Credit Card,472,Active,Gold,1/17/25,V59XYBE6,12,1,48,"Surveyor, building",Single
75307,Yvonne Murphy,shanemacias@hotmail.com,(730)894-4656x00311,"3714 Hood Lodge Apt. 410
New Leslie, WA 27477",Andreaport,Alaska,91703,Uzbekistan,Male,9/2/85,12/10/21,4/1/25,hope,very,table,yard,simply,102.64,3/5/25,Credit Card,542,Active,Platinum,1/1/25,O82ZRA6X,5,5,57,Herbalist,Married
64592,Luis Freeman,yjackson@hotmail.com,+1-741-084-2578x779,"378 Nicole Cliffs
New Teresaville, VT 11134",Davidfort,New Mexico,97870,Saint Lucia,Male,11/5/59,7/15/23,4/2/25,family,finish,every,do,number,364.33,1/12/25,PayPal,532,Inactive,Basic,1/30/25,K7W7LN0F,15,8,69,IT technical support officer,Divorced
81088,William Garcia,kaitlyn97@hotmail.com,793.552.4444x1352,"71976 Rodriguez Trace Apt. 629
East Sara, WV 66330",Sanchezburgh,Rhode Island,41793,Canada,Male,1/20/02,11/2/24,4/1/25,without,bit,dog,reveal,manager,120.31,1/8/25,PayPal,294,Active,Platinum,1/24/25,0KZ7V2CP,3,4,24,Legal secretary,Divorced
98912,Julie Moore,bensonmegan@cantu.info,001-849-808-5547,"11572 Richard Parks Apt. 731
Kevinton, AR 84454",Dodsonton,Ohio,9360,Philippines,Other,9/26/78,4/9/23,4/2/25,peace,build,note,not,president,427.46,3/11/25,Bank Transfer,576,Active,Gold,3/6/25,JIJO9T9Z,5,10,66,Media planner,Widowed
55379,Nicole Jackson,thomasflores@gmail.com,(110)673-0418,"08160 Barron Viaduct
Lake Markview, DC 36573",East Taylor,North Dakota,18028,Montenegro,Male,12/6/67,11/8/20,4/1/25,able,visit,sister,environmental,feel,306.72,1/15/25,Bank Transfer,740,Inactive,Gold,2/19/25,LDW3XI4M,12,7,70,Communications engineer,Married
64431,Kelly Wiggins,jhernandez@yahoo.com,5963837580,"798 Benjamin Oval
New Kristinport, PA 20325",Farrellside,Kansas,30058,Montserrat,Male,1/18/65,5/27/24,4/1/25,series,drug,present,radio,say,358.1,2/18/25,Credit Card,920,Active,Basic,3/12/25,FVH6JJ87,16,7,40,Veterinary surgeon,Single
29398,Timothy James,alexandra42@yahoo.com,001-920-355-1230x3858,"0794 Stephens Gateway
West Stephaniefort, NC 87048",Petersonfurt,Colorado,91815,Belgium,Other,7/18/06,1/7/23,4/1/25,budget,who,black,probably,trip,387.46,1/24/25,Bank Transfer,257,Active,Basic,1/27/25,0Q6B0689,12,3,52,Plant breeder/geneticist,Single
18530,Robin Cortez,smithdenise@patton-brooks.com,+1-543-958-6877x076,"102 Luke Parks
East Mary, DC 61061",Thomashaven,Alaska,84091,Saint Barthelemy,Female,8/20/90,6/28/24,4/2/25,story,right,either,white,whole,408.24,2/3/25,Bank Transfer,6,Inactive,Gold,3/19/25,ZVLQRO9I,11,6,56,Tour manager,Divorced
26400,Cassandra Chan,johnreynolds@daugherty-cannon.com,+1-027-441-7326x1531,"PSC 4267, Box 3953
APO AA 71469",West Ryan,Michigan,84040,Holy See (Vatican City State),Female,7/1/73,7/13/20,4/2/25,speak,inside,huge,or,election,427.27,2/13/25,Bank Transfer,206,Inactive,Platinum,1/23/25,16E29DVI,9,2,53,Forensic psychologist,Single
47551,Cory Berry,dmccarthy@gmail.com,(321)826-9364x1095,"56643 Joanne Run Suite 361
Lake Adrian, MS 76453",Thomasburgh,Kansas,97488,Ireland,Female,1/21/00,4/7/21,4/2/25,director,wall,former,quality,especially,91.21,3/31/25,Credit Card,732,Active,Gold,3/23/25,Z9W5QSQV,0,5,52,Clinical embryologist,Married
25605,Michelle Chavez,christopher88@hotmail.com,001-888-152-0115,"351 Perez Court Suite 499
Williamsville, LA 47111",Port Chelseaburgh,Illinois,73150,Paraguay,Male,2/24/80,9/11/20,4/1/25,TV,manager,sit,court,name,188.71,2/3/25,Credit Card,614,Active,Gold,3/6/25,ZPQDSGMV,17,2,63,"Engineer, technical sales",Widowed
